"YEAR","CASEID","FAMINCOME","HH_CHILD","PERNUM","LINENO","DATE","WT06","AGE","SEX","RACE","MARST","POPSTAT","EDUC","EMPSTAT","RETIRED","FULLPART","HOURWAGE_CPS8","SPOUSEPRES","SPSEX","BLS_CAREHH","BLS_CARENHH","BLS_COMM","BLS_EDUC","BLS_HHACT","BLS_LEIS","BLS_OTHER","BLS_PCARE","BLS_PURCH","BLS_SOCIAL","BLS_WORK","BLS_WORK_SEARCH"
2019,20190101190022,6,0,1,1,20190127,2286291.439799000,85,2,110,3,1,30,5,1,99,999.99,3,99,0,0,0,0,0,420,0,690,0,300,0,0
2019,20190101190031,14,1,1,1,20190130,53729031.43166300,25,2,100,6,1,16,1,99,2,11.0,2,1,0,0,0,0,13,877,0,540,0,0,0,0
2019,20190101190057,10,0,1,1,20190131,23789098.91146100,20,2,100,6,1,30,1,99,2,999.99,3,99,5,0,10,0,0,300,0,705,0,0,390,0
2019,20190101190107,9,0,1,1,20190129,22241500.15785900,61,2,100,1,1,32,4,99,99,999.99,1,1,775,0,0,0,75,100,0,450,0,0,0,0
2019,20190101190555,12,1,1,1,20190127,2599756.619860000,34,1,100,1,1,40,1,99,1,999.99,1,2,145,0,0,0,0,600,0,495,0,0,90,0
2019,20190101190565,15,0,1,1,20190129,17223160.51421200,53,2,100,4,1,40,1,99,1,999.99,2,1,0,98,105,0,150,60,0,390,11,192,479,0
2019,20190101190568,10,1,1,1,20190127,5515375.655517000,26,2,100,6,1,11,1,99,2,9.0,1,1,30,0,0,0,120,345,0,900,0,0,0,0
2019,20190101190587,6,1,1,1,20190127,7640780.010151000,45,1,100,1,1,40,1,99,1,35.0,1,2,65,0,0,0,270,180,175,540,60,0,0,0
2019,20190101190607,4,0,1,1,20190127,2865211.663099000,85,1,100,3,1,21,5,1,99,999.99,3,99,0,0,60,0,580,90,0,535,100,0,0,0
2019,20190101190654,15,0,1,1,20190129,17748277.19961700,74,1,100,1,1,40,5,1,99,999.99,1,2,0,0,0,0,165,300,0,260,625,0,0,0
2019,20190101190677,11,0,1,1,20190127,2290433.497900000,85,2,100,3,1,31,5,1,99,999.99,3,99,0,0,55,0,40,485,165,635,10,0,0,0
2019,20190101190703,10,0,1,1,20190131,5831622.586220000,36,1,110,5,1,30,1,99,1,11.75,3,99,0,0,0,0,0,318,0,427,0,0,695,0
2019,20190101190725,5,0,1,1,20190130,7116737.697129000,67,2,110,4,1,21,5,99,99,999.99,3,99,0,0,5,0,75,410,78,667,175,0,0,0
2019,20190101190755,14,1,1,1,20190127,1994509.936820000,40,1,100,1,1,41,1,99,1,999.99,1,2,145,0,0,0,0,240,0,510,0,305,150,0
2019,20190101190757,15,0,1,1,20190131,21721841.13709600,53,1,100,1,1,40,1,99,1,999.99,1,2,0,0,0,0,50,145,0,565,8,0,637,0
2019,20190101190760,10,0,1,1,20190129,10432997.71808000,77,2,100,1,1,30,5,1,99,999.99,1,1,0,30,53,0,207,238,47,622,211,0,0,0
2019,20190101190778,14,1,1,1,20190127,2438151.526197000,40,1,100,4,1,32,1,99,1,21.5,3,99,40,0,0,0,520,60,0,625,80,0,0,0
2019,20190101190790,15,0,1,1,20190130,20913244.13210900,52,1,100,1,1,40,1,99,1,32.0,1,2,0,0,120,0,210,175,0,585,295,0,5,0
2019,20190101190802,16,1,1,1,20190131,13517841.48170800,52,1,100,1,1,21,1,99,1,36.0,1,2,95,0,0,0,60,90,0,430,0,0,660,0
2019,20190101190817,15,1,1,1,20190127,3669781.997381000,37,2,100,1,1,40,1,99,2,999.99,1,1,160,0,0,0,240,350,0,485,25,0,0,0
2019,20190101190827,11,0,1,1,20190129,17576712.26467000,74,1,100,1,1,13,5,1,99,999.99,1,2,0,0,0,0,45,620,0,670,0,0,0,0
2019,20190101190838,16,1,1,1,20190127,5343299.134406000,18,1,100,6,1,16,5,99,99,10.0,3,99,0,0,20,170,120,335,55,670,0,0,0,0
2019,20190101190855,11,0,1,1,20190128,5712924.781399000,76,1,100,4,1,30,5,1,99,999.99,3,99,0,92,9,0,66,731,0,542,0,0,0,0
2019,20190101190877,15,0,1,1,20190130,18659623.16165300,67,2,100,1,1,30,5,1,99,999.99,1,1,0,0,10,0,180,260,0,960,0,0,0,0
2019,20190101190912,15,0,1,1,20190130,11287941.41843800,68,1,100,1,1,40,1,99,1,999.99,1,2,0,0,0,0,0,165,0,600,0,0,525,0
2019,20190101190950,4,0,1,1,20190130,32322075.14845700,18,1,131,6,1,16,5,99,99,999.99,3,99,0,0,0,525,1,331,0,498,0,0,0,0
